,10,9,6,9,20,21,12,,,22,5,19,15,7,19,20,14,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,27,8,12,7,7,48,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,10,19,11,9,33,,42,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,8,32,12,14,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,15,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,28,8,12,7,7,48,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,10,19,11,9,33,,42,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,8,32,12,15,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,15,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,28,8,12,7,7,50,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,10,19,11,9,33,,42,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,32,12,15,,15,9,15,9,,24,,24,10,,8
,10,10,6,9,21,21,12,,,22,5,19,15,7,19,20,15,10,11,12,11,7,8,10,5,3,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,29,8,12,7,7,50,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,10,19,11,9,33,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,32,12,15,,15,9,15,9,,24,,24,10,,8
,10,10,6,9,21,21,12,,,22,5,19,15,7,19,20,15,10,11,12,11,7,8,10,5,4,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,29,8,12,7,7,50,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,10,19,11,9,33,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,15,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,15,11,11,12,11,7,8,10,5,4,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,29,8,12,7,7,50,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,11,19,11,9,33,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,15,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,15,11,11,12,11,7,8,10,5,4,14,9,8,15,,,,11,22,,10,6,21,7,13,4,10,32,8,12,7,7,50,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,11,19,11,9,33,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,15,11,11,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,20,7,13,4,10,32,8,12,7,7,50,16,20,6,6,15,13,11,11,24,,8,,13,14,9,,11,19,11,9,33,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,15,11,11,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,20,7,13,4,10,32,8,12,7,7,50,16,20,6,7,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,33,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,20,7,13,4,10,32,8,12,7,7,50,16,20,6,7,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,33,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,5,19,15,7,19,20,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,13,4,10,32,8,12,7,7,50,16,20,6,7,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,19,15,7,19,20,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,32,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,20,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,32,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,20,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,32,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,20,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,32,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
,10,9,6,9,21,21,12,,,22,,,15,7,19,,,11,,12,11,7,8,10,5,4,14,9,8,15,,,,11,,,10,6,21,7,,4,10,32,8,12,7,7,50,16,20,6,9,15,13,11,11,25,,8,,13,14,9,,11,19,11,9,,,,21,9,6,7,9,12,57,,,9,14,,81,,,14,19,,22,28,11,9,,12,16,,15,9,15,9,,24,,24,10,,8
